num	delta	http1	simple	spdy3
416	54	354	139	44
417	45	354	104	37
418	115	351	136	62
419	91	353	138	61
420	40	252	132	81
421	14	283	215	121
422	291	586	459	205
423	126	442	298	85
424	18	442	137	40
425	98	568	434	368
426	61	487	369	72
427	36	374	231	54
428	28	156	94	52
429	30	207	115	41
430	111	467	304	61
431	32	246	142	44
432	19	488	361	36
433	14	287	188	29
434	85	424	315	155
435	264	704	561	236
436	67	349	159	51
437	208	487	375	45
438	156	534	374	96
439	55	156	88	32
440	19	156	58	28
441	78	366	193	56
442	84	365	125	62
443	92	350	135	74
444	20	157	95	32
445	88	351	178	68
446	107	473	381	52
447	14	123	56	29
448	88	351	178	39
449	14	157	95	25
450	72	352	179	54
451	90	351	126	59
452	87	350	135	54
453	25	351	112	32
454	66	350	125	53
455	173	346	229	185
456	90	351	176	58
457	172	414	264	98
458	93	352	178	57
459	85	352	126	56
460	36	252	132	29
461	121	492	335	70
462	143	413	253	62
463	300	586	445	78
464	44	488	370	40
465	98	349	146	78
466	119	413	263	55
467	47	455	169	46
468	119	442	290	53
469	26	156	94	29
470	43	349	169	47
471	34	469	304	37
472	85	424	325	36
473	19	488	370	34
474	14	287	188	29
475	267	708	556	241
476	18	479	305	34
477	26	156	88	26
478	28	469	286	31
479	25	156	75	27
480	129	473	384	48
481	14	123	56	28
482	46	469	305	31
483	111	352	172	68
484	110	479	308	55
485	32	252	127	30
486	290	586	454	76
487	28	479	310	26
488	24	413	89	34
489	24	488	369	37
490	24	479	314	26
491	32	232	117	41
492	30	403	243	34
493	26	479	163	26
494	22	404	103	30
495	19	487	368	36
496	56	349	146	36
497	14	287	188	29
498	277	716	564	238
499	153	559	386	71
500	85	424	330	36
501	60	403	249	33
502	30	245	128	42
503	18	349	168	33
504	24	404	254	31
505	103	473	384	50
506	14	123	56	29
507	36	404	255	31
508	146	509	331	96
509	32	252	132	29
510	127	532	372	85
511	32	335	202	33
512	292	586	445	77
513	24	488	370	34
514	39	482	320	48
515	30	207	107	41
516	30	335	202	24
517	24	156	94	32
518	19	488	370	33
519	24	246	144	40
520	14	287	188	29
521	261	712	560	231
522	85	424	325	36
523	30	479	310	53
524	52	156	88	35
525	28	403	235	45
526	29	469	170	39
527	104	473	384	51
528	14	123	56	29
529	89	344	172	79
530	36	469	298	28
531	114	350	170	88
532	126	553	363	85
533	83	348	161	61
534	92	353	138	78
535	87	353	127	62
536	71	350	135	55
537	56	365	150	43
538	70	365	125	56
539	71	349	134	51
540	94	354	139	59
541	121	467	314	73
542	86	354	173	56
543	86	353	127	61
544	70	349	134	45
545	90	364	149	59
546	92	354	139	53
547	34	252	132	29
548	85	353	180	53
549	86	354	128	49
550	86	354	128	59
551	85	353	127	53
552	54	352	137	56
553	94	354	139	46
554	44	354	104	41
555	85	354	128	71
556	290	586	459	80
557	47	354	181	52
558	94	353	138	62
559	92	354	139	62
560	86	353	127	55
561	84	353	127	50
562	52	354	128	48
563	93	352	137	66
564	53	354	139	46
565	94	352	137	71
566	92	353	138	53
567	43	353	103	42
568	44	354	104	50
569	83	353	127	49
570	90	354	128	57
571	48	353	127	51
572	44	353	103	51
573	56	352	137	50
574	93	353	138	60
575	85	353	127	56
576	92	351	136	67
577	40	329	154	111
578	48	366	173	53
579	14	328	163	30
580	28	482	355	41
581	40	278	127	88
582	95	367	192	62
583	98	349	134	52
584	55	365	150	51
585	66	366	126	40
586	23	366	103	35
587	86	243	141	68
588	89	351	170	61
589	61	351	126	41
590	19	351	102	30
591	85	351	126	58
592	19	351	102	31
593	27	487	368	45
594	14	287	188	90
595	280	728	576	388
596	74	354	164	52
597	978	1395	1331	732
598	44	354	181	39
599	44	354	104	36
600	179	398	247	232
601	241	503	400	73
602	89	364	191	57
603	204	438	278	208
604	169	438	257	179
605	158	439	247	169
606	157	439	247	166
607	160	439	247	165
608	161	439	247	167
609	108	473	384	204
610	14	123	56	41
611	116	354	181	62
612	83	350	124	59
613	86	354	128	56
614	92	354	128	47
615	130	413	263	130
