num	delta	http1	simple	spdy3
386	149	326	153	74
387	178	366	193	66
388	101	412	218	71
389	101	412	197	62
390	101	367	194	76
391	103	412	218	68
392	150	373	158	68
393	146	325	152	82
394	145	325	152	75
395	145	373	179	80
396	150	326	153	72
397	151	323	150	76
398	145	326	153	73
399	177	364	191	70
400	181	412	218	72
401	100	367	194	72
402	155	372	189	87
403	145	325	163	73
404	153	372	178	73
405	184	412	197	67
406	144	372	157	78
407	144	325	152	82
408	149	326	153	73
409	99	366	193	68
410	103	366	193	79
411	101	365	192	61
412	152	372	178	78
413	101	364	191	69
414	105	412	218	68
415	150	326	153	79
416	145	325	152	75
417	182	413	219	65
418	146	325	152	74
419	177	365	192	66
420	150	326	153	76
421	97	413	219	75
422	50	212	98	49
423	8	212	48	23
424	8	212	48	23
425	8	212	48	23
426	8	212	48	23
427	96	413	234	81
428	156	327	154	84
429	145	324	151	75
430	95	411	217	67
431	146	327	154	78
432	146	326	153	67
433	151	373	179	81
434	99	411	196	71
435	149	326	153	85
436	147	326	153	68
437	36	212	115	29
438	12	182	45	27
439	8	182	45	21
440	36	182	45	27
441	8	182	45	21
442	8	182	45	21
443	8	182	45	21
444	80	289	148	139
445	145	324	183	75
446	120	306	131	123
447	98	365	203	76
448	106	413	219	76
449	148	326	153	81
450	149	372	178	71
451	144	325	152	72
452	143	325	152	73
453	180	410	216	69
454	144	374	159	77
455	144	371	255	215
456	8	371	60	24
457	50	330	205	36
458	139	311	170	73
459	99	365	192	64
460	23	149	88	47
461	14	149	44	27
462	24	212	111	29
463	103	358	179	72
464	99	324	151	68
465	153	325	152	69
466	101	311	138	65
467	99	413	219	76
468	103	412	197	66
469	183	413	198	72
470	106	366	193	72
471	105	413	219	68
472	150	326	153	75
473	149	326	153	65
474	176	364	191	76
475	100	313	140	67
476	147	326	153	73
477	100	362	189	67
478	38	182	98	29
479	104	413	234	73
480	180	410	195	75
481	104	365	192	79
482	158	360	187	64
483	12	212	115	26
484	95	413	234	71
485	154	373	158	74
486	106	413	198	71
487	154	326	153	74
488	103	367	194	76
489	36	212	115	28
490	149	324	183	74
491	12	182	98	26
492	8	182	45	21
493	99	413	234	72
494	95	367	194	70
495	181	365	192	69
496	38	212	115	26
497	103	412	233	68
498	103	414	199	77
499	105	366	193	67
500	147	372	178	70
501	101	367	194	64
502	101	366	193	69
503	135	311	138	70
504	99	364	191	70
505	95	364	87	63
506	36	212	115	29
507	102	366	225	78
508	99	411	217	68
509	100	364	191	69
510	181	364	191	64
511	99	364	191	70
512	154	373	179	78
513	182	366	193	69
514	94	413	219	69
515	36	212	98	26
516	12	182	45	26
517	8	182	45	21
518	8	182	45	21
519	143	372	193	75
520	149	373	158	82
521	100	325	152	73
522	147	373	179	78
523	38	212	98	29
524	12	182	45	25
525	219	356	262	197
526	317	546	442	257
527	278	423	356	171
528	397	581	513	219
529	236	488	389	70
530	50	337	268	33
531	240	461	358	244
532	145	263	167	59
533	105	409	247	86
534	133	378	234	85
535	102	377	190	70
536	176	338	183	79
537	81	376	221	59
538	181	364	209	65
539	93	410	227	66
540	188	362	200	78
541	190	384	219	101
542	106	378	234	71
543	79	366	211	52
544	170	328	174	103
545	107	365	134	85
546	98	349	97	57
